2022-05-17 17:41:47,233  INFO WorkerThread Start
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,244 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:47,658 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,056 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:48,450 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:48,450 DEBUG MainThread Compression method 0
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:48,450 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:48,450 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:48,451 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:48,541 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:49,719 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iCCP' 41 3181
2022-05-17 17:41:49,720 DEBUG MainThread iCCP profile name b'ICC Profile'
2022-05-17 17:41:49,720 DEBUG MainThread Compression method 0
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'eXIf' 3234 138
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'pHYs' 3384 9
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iTXt' 3405 470
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'iDOT' 3887 28
2022-05-17 17:41:49,720 DEBUG MainThread b'iDOT' 3887 28 (unknown)
2022-05-17 17:41:49,720 DEBUG MainThread STREAM b'IDAT' 3927 16384
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IHDR' 16 13
2022-05-17 17:41:49,810 DEBUG MainThread STREAM b'IDAT' 41 8192
2022-05-17 17:41:50,214  INFO MainThread Loading face detector...
2022-05-17 17:41:50,232  INFO MainThread Loading Model...
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (620.0, 1522.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (2360.0, 210.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (1074.0, 230.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (1918.0, 654.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (1034.0, 1094.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (190.0, 1094.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (160.0, 184.0)
2022-05-17 17:41:55,092 DEBUG MainThread Face detection COG: (210.0, 1518.0)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (1935.0, 1080.5)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (630.5, 1084.0)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (642.5, 199.5)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (2357.5, 1052.5)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (1053.5, 1075.0)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (1934.5, 1494.0)
2022-05-17 17:41:56,325 DEBUG MainThread Live detection COG: (1935.0, 228.0)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1072.5, 224.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (185.5, 179.0)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1485.5, 1513.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (641.0, 658.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1082.5, 1499.0)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1052.0, 652.0)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1500.5, 217.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (194.0, 1086.0)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (2370.5, 1509.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1500.0, 1061.5)
2022-05-17 17:41:56,326 DEBUG MainThread Live detection COG: (1927.5, 645.5)
2022-05-17 17:41:56,327 DEBUG MainThread Live detection COG: (2358.0, 649.5)
2022-05-17 17:41:56,327 DEBUG MainThread Face detection COG: (1938.0, 1518.0)
2022-05-17 17:41:56,327 DEBUG MainThread Face detection COG: (2360.0, 1518.0)
